Question,CorrectAnswer,Option1,Option2,Option3,Reason
Which network device enables centralized management of WAPs?,Wireless LAN controller,Multilayer switch,Load balancer,VPN concentrator,
"In computer networking, a computer system or application that acts as an intermediary between another computer and the Internet is commonly referred to as:",Proxy,Server,Active hub,Bridge,
Which of the following answers illustrates the difference between passive and active network security breach response?,IDS vs. IPS,NIPS vs. UTM,UTM vs. Firewall,HIPS vs. NIPS,
Which of the following answers refers to a software or hardware that monitors network traffic and depending on the configuration settings applied to each data packet either blocks it or allows it to pass through?,Firewall,HIDS,Packet filter,Vulnerability scanner,
"Which of the following answers refers to a dedicated device designed to manage encrypted connections established over an untrusted network, such as the Internet?",VPN headend,Proxy server,Distributed switch,UTM appliance,
Which of the following terms refers to an environmental control system?,HVAC,TEMPEST,HIPS,SCADA,
"An attacker managed to associate his/her MAC address with the IP address of the default gateway. In result, a targeted host is sending network traffic to the attacker's IP address instead of the IP address of the default gateway. Based on the given info, which type of attack is taking place in this scenario?",ARP poisoning,Replay attack,Cross-site request forgery,DNS poisoning,
Which password attack takes advantage of a predefined list of words?,Dictionary attack,Brute-force attack,Replay attack,Birthday attack,
Which of the following attacks relies on altering the source layer 3 address?,IP spoofing,VLAN hopping,SYN flood attack,Replay attack,
What is tailgating?,Gaining unauthorized access to restricted areas by following another person (without the consent of the authorized person),Acquiring unauthorized access to confidential data,Looking over someone's shoulder to get information,Gaining unauthorized access to restricted areas by following another person (with the consent of the authorized person),
What is piggybacking?,Gaining unauthorized access to restricted areas by following another person (with the consent of the authorized person),Looking over someone's shoulder to get information,Gaining unauthorized access to restricted areas by following another person (without the consent of the authorized person),Acquiring unauthorized access to confidential data,
A situation in which an unauthorized person can view another user's display or keyboard to learn their password or other confidential information is referred to as:,Shoulder surfing,Tailgating,Spear phishing,Spoofing,
What is the name of a Linux command-line utility that can be used to display TCP/IP configuration settings?,ifconfig,netstat,nslookup,ipconfig,
Which command in MS Windows displays a table consisting of IP addresses and their resolved physical addresses?,arp -a,tracert -d,netstat -n,route print,
Which netstat parameter allows to display the names of applications and executable file components that are accessing the network?,-b,-a,-n,-p,
Which of the following answers refers to a command-line packet capturing utility?,tcpdump,nmap,tcpreplay,netcat,
Which of the following command-line tools is used for discovering hosts and services on a network?,nmap,tracert,netcat,tcpdump,
