Question,CorrectAnswer,Option1,Option2,Option3,Reason
How can you prevent a flex item from shrinking in 'flexbox' layout?,By setting 'flex-shrink: 0;' on the specific flex item.,By using 'flex-shrink: 1;' on the specific flex item.,By setting 'flex-shrink: 2;' on the specific flex item.,By using 'flex-shrink: none;' on the specific flex item.,"To prevent a flex item from shrinking in 'flexbox' layout, you set 'flex-shrink: 0;' on the specific flex item."
What is the purpose of the 'flex-basis' property in 'flexbox' layout?,To define the initial size of a flex item.,To control the order of flex items.,To determine the alignment of flex items.,To specify the main axis direction of the flex container.,The 'flex-basis' property in 'flexbox' layout is used to define the initial size of a flex item before it distributes remaining space.
How can you set the initial size of a flex item to 200 pixels using 'flex-basis'?,By setting 'flex-basis: 200px;' on the specific flex item.,By using 'flex-basis: auto;' on the specific flex item.,By setting 'flex-basis: 100px;' on the specific flex item.,By using 'flex-basis: initial;' on the specific flex item.,"To set the initial size of a flex item to 200 pixels using 'flex-basis', you set 'flex-basis: 200px;' on the specific flex item."
What is the purpose of the 'flex' shorthand property in 'flexbox' layout?,"To set the 'flex-grow', 'flex-shrink', and 'flex-basis' properties in one declaration.",To control the order of flex items.,To define the spacing between flex items.,To specify the main axis direction of the flex container.,"The 'flex' shorthand property in 'flexbox' layout allows you to set the 'flex-grow', 'flex-shrink', and 'flex-basis' properties in one declaration."
How can you specify that a flex item should grow twice as much as other items and have an initial size of 100 pixels using 'flex'?,By setting 'flex: 2 1 100px;' on the specific flex item.,By using 'flex: 1 2 100px;' on the specific flex item.,By setting 'flex: 100px 1 2;' on the specific flex item.,By using 'flex: 1 2;' on the specific flex item.,"To specify that a flex item should grow twice as much as other items and have an initial size of 100 pixels using 'flex', you set 'flex: 2 1 100px;' on the specific flex item."
What is the purpose of the 'align-self' property in 'flexbox' layout?,To control the alignment of a specific flex item along the cross axis.,To control the alignment of all flex items along the main axis.,To define the spacing between flex items.,To specify the main axis direction of the flex container.,"The 'align-self' property in 'flexbox' layout is used to control the alignment of a specific flex item along the cross axis, allowing individual customization."
How can you vertically center a specific flex item within a flex container using 'align-self'?,By setting 'align-self: center;' on the specific flex item.,By using 'align-self: start;' on the specific flex item.,By using 'align-self: end;' on the specific flex item.,By using 'align-self: baseline;' on the specific flex item.,"To vertically center a specific flex item within a flex container using 'align-self', you set 'align-self: center;' on the specific flex item."
What is the purpose of the 'order' property in 'flexbox' layout?,To control the order in which flex items appear within the flex container.,To control the alignment of flex items along the main axis.,To define the spacing between flex items.,To specify the main axis direction of the flex container.,"The 'order' property in 'flexbox' layout is used to control the order in which flex items appear within the flex container, allowing you to rearrange their visual order."
How can you make a specific flex item appear first in the visual order using the 'order' property?,By setting 'order: -1;' on the specific flex item.,By using 'order: 0;' on the specific flex item.,By setting 'order: 1;' on the specific flex item.,By using 'order: 2;' on the specific flex item.,"To make a specific flex item appear first in the visual order using the 'order' property, you set 'order: -1;' on the specific flex item."
What is the purpose of the 'flex-flow' shorthand property in 'flexbox' layout?,To set both 'flex-direction' and 'flex-wrap' properties in one declaration.,To control the order of flex items.,To define the spacing between flex items.,To specify the main axis direction of the flex container.,The 'flex-flow' shorthand property in 'flexbox' layout allows you to set both 'flex-direction' and 'flex-wrap' properties in one declaration.
How can you set a flex container to have a column-reverse layout with wrapping using 'flex-flow'?,By setting 'flex-flow: column-reverse wrap;' on the flex container.,By using 'flex-flow: row wrap-reverse;' on the flex container.,By setting 'flex-flow: reverse-column wrap;' on the flex container.,By using 'flex-flow: row-reverse wrap;' on the flex container.,"To set a flex container to have a column-reverse layout with wrapping using 'flex-flow', you set 'flex-flow: column-reverse wrap;' on the flex container."
